"Au sample deposited by Zr for 20 min   "
TotalNumOfRegions=4
Region=1
"O 1s"
Npoints=241
      89.291      9132.000
      89.241      9161.330
      89.191      9304.000
      89.141      9666.000
      89.091      9849.330
      89.041      9952.000
      88.991     10508.700
      88.941     10823.300
      88.891     11101.300
      88.841     11484.700
      88.791     11893.300
      88.741     12237.300
      88.691     12726.700
      88.641     13294.000
      88.591     14138.700
      88.541     14864.700
      88.491     15606.700
      88.441     16359.300
      88.391     17260.000
      88.341     18430.700
      88.291     19314.000
      88.241     20854.700
      88.191     21915.300
      88.141     23354.700
      88.091     24690.700
      88.041     26040.000
      87.991     27327.300
      87.941     28812.700
      87.891     29890.700
      87.841     30856.700
      87.791     32091.300
      87.741     32560.000
      87.691     32386.000
      87.641     32328.700
      87.591     31847.300
      87.541     30782.000
      87.491     29626.000
      87.441     28325.300
      87.391     26670.700
      87.341     24962.000
      87.291     22875.300
      87.241     21078.700
      87.191     19544.000
      87.141     17957.300
      87.091     16478.000
      87.041     15473.300
      86.991     14226.000
      86.941     13548.700
      86.891     12502.700
      86.841     12078.700
      86.791     11547.300
      86.741     11280.000
      86.691     10764.000
      86.641     10411.300
      86.591     10199.300
      86.541      9786.000
      86.491      9678.670
      86.441      9652.670
      86.391      9310.670
