B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              difference
 309.27             2769.34             3313.108            3304.491            3305.457            3311.351            3305.282           -543.7683 
 309.22             2824.38             3314.499            3305.839            3306.809            3312.733            3306.635           -490.1189 
 309.17             2684.53             3315.982            3307.28             3308.254            3314.207            3308.082           -631.4521 
 309.12             2788.93             3317.223            3308.479            3309.457            3315.438            3309.285           -528.2927 
 309.07             2899.99             3318.639            3309.852            3310.834            3316.845            3310.663           -418.6487 
 309.02             2719.89             3320.244            3311.414            3312.401            3318.441            3312.231           -600.3542 
 308.97             2786.62             3321.541            3312.667            3313.658            3319.729            3313.489           -534.9209 
 308.92             2770.81             3322.948            3314.031            3315.026            3321.127            3314.858           -552.1384 
 308.87             2868.07             3324.326            3315.365            3316.364            3322.495            3316.198           -456.2563 
 308.82             2811.94             3325.87             3316.864            3317.867            3324.029            3317.702           -513.9299 
 308.77             2754.33             3327.317            3318.267            3319.274            3325.467            3319.11            -572.9873 
 308.72             2528.63             3328.664            3319.568            3320.58             3326.804            3320.417           -800.0339 
 308.67             2620.42             3329.617            3320.476            3321.492            3327.747            3321.33            -709.197 
 308.62             2766.97             3330.716            3321.53             3322.55             3328.837            3322.389           -563.7463 
 308.57             2642.54             3332.061            3322.828            3323.853            3330.171            3323.693           -689.5208 
 308.52             2875.29             3333.187            3323.908            3324.937            3331.287            3324.779           -457.897 
 308.47             2771.23             3334.707            3325.381            3326.414            3332.797            3326.257           -563.4768 
 308.42             2786.82             3336.048            3326.675            3327.712            3334.128            3327.557           -549.2278 
 308.37             2780.49             3337.413            3327.992            3329.034            3335.483            3328.88            -556.9226 
 308.32             2814.63             3338.764            3329.295            3330.342            3336.823            3330.189           -524.1343 
 308.27             2866.22             3340.171            3330.654            3331.705            3338.22             3331.554           -473.9509 
 308.22             2665.74             3341.666            3332.1              3333.156            3339.704            3333.006           -675.9255 
 308.17             2652.09             3342.813            3333.199            3334.259            3340.841            3334.111           -690.7231 
 308.12             2746.61             3343.93             3334.267            3335.332            3341.948            3335.185           -597.3203 
 308.07             2720.03             3345.203            3335.489            3336.559            3343.209            3336.414           -625.1726 
 308.02             2609.3              3346.425            3336.661            3337.735            3344.42             3337.592           -737.1245 
